Item,Region_Number,Region_Name,Average_Annual_Percent_Growth,Year,Spending,Population,State,SpendingAdjusted,perCapSpendAdjusted
Durable Medical Products (Millions of Dollars),6,Southwest,8.0,1980,31,1302894,New Mexico,118.01406553398058,9.057840893731999e-05
Durable Medical Products (Millions of Dollars),2,Mideast,6.9,1980,287,17558072,New York,1092.5818325242717,6.222675431130887e-05
Durable Medical Products (Millions of Dollars),5,Southeast,8.0,1980,100,5881766,North Carolina,380.69053398058253,6.47238489223445e-05
Durable Medical Products (Millions of Dollars),4,Plains,8.4,1980,8,652717,North Dakota,30.455242718446602,4.665918417698114e-05
Durable Medical Products (Millions of Dollars),3,Great Lakes,6.2,1980,211,10797630,Ohio,803.2570266990291,7.43919755260209e-05
Durable Medical Products (Millions of Dollars),6,Southwest,6.8,1980,45,3025290,Oklahoma,171.31074029126214,5.6626221053605484e-05
Durable Medical Products (Millions of Dollars),8,Far West,7.7,1980,41,2633105,Oregon,156.08311893203884,5.927721033989865e-05
Durable Medical Products (Millions of Dollars),2,Mideast,6.6,1980,205,11863895,Pennsylvania,780.4155946601942,6.578072333413218e-05
Durable Medical Products (Millions of Dollars),1,New England,7.8,1980,11,947154,Rhode Island,41.875958737864075,4.421240763156158e-05
Durable Medical Products (Millions of Dollars),5,Southeast,8.8,1980,42,3121820,South Carolina,159.89002427184465,5.121692611100084e-05
Durable Medical Products (Millions of Dollars),4,Plains,7.0,1980,10,690768,South Dakota,38.06905339805825,5.5111199994872735e-05
Durable Medical Products (Millions of Dollars),5,Southeast,7.9,1980,68,4591120,Tennessee,258.86956310679614,5.638483923460858e-05
Durable Medical Products (Millions of Dollars),6,Southwest,7.8,1980,261,14229191,Texas,993.6022936893205,6.982844588208287e-05
Durable Medical Products (Millions of Dollars),7,Rocky Mountains,6.5,1980,57,1461037,Utah,216.99360436893204,0.00014852026633749318
Durable Medical Products (Millions of Dollars),1,New England,7.1,1980,7,511456,Vermont,26.64833737864078,5.2102893266753694e-05
Durable Medical Products (Millions of Dollars),5,Southeast,8.1,1980,79,5346818,Virginia,300.7455218446602,5.6247570395076134e-05
Durable Medical Products (Millions of Dollars),8,Far West,7.6,1980,85,4132156,Washington,323.58695388349514,7.83094718310478e-05
Durable Medical Products (Millions of Dollars),5,Southeast,6.8,1980,34,1949644,West Virginia,129.43478155339807,6.638893128868556e-05
Durable Medical Products (Millions of Dollars),3,Great Lakes,6.9,1980,74,4705767,Wisconsin,281.71099514563105,5.986505391058058e-05
Durable Medical Products (Millions of Dollars),7,Rocky Mountains,6.2,1980,8,469557,Wyoming,30.455242718446602,6.485952231240638e-05
Nursing Home Care (Millions of Dollars),5,Southeast,7.0,1980,188,3893888,Alabama,715.6982038834951,0.00018380040819959259
Nursing Home Care (Millions of Dollars),8,Far West,6.6,1980,15,401851,Alaska,57.103580097087374,0.00014210137612470137
Nursing Home Care (Millions of Dollars),6,Southwest,9.7,1980,84,2718215,Arizona,319.7800485436893,0.00011764339779733733
Nursing Home Care (Millions of Dollars),5,Southeast,6.4,1980,159,2286435,Arkansas,605.2979490291262,0.00026473437864147736
Nursing Home Care (Millions of Dollars),8,Far West,7.3,1980,1346,23667902,California,5124.09458737864,0.0002164997382268458
Nursing Home Care (Millions of Dollars),7,Rocky Mountains,7.3,1980,190,2889964,Colorado,723.3120145631068,0.0002502840916229776
Nursing Home Care (Millions of Dollars),1,New England,6.6,1980,351,3107576,Connecticut,1336.2237742718446,0.00042998908933260027
Nursing Home Care (Millions of Dollars),2,Mideast,9.4,1980,26,594338,Delaware,98.97953883495146,0.00016653745652297423
Nursing Home Care (Millions of Dollars),2,Mideast,7.7,1980,21,638333,District of Columbia,79.94501213592233,0.0001252402932888043
Nursing Home Care (Millions of Dollars),5,Southeast,9.9,1980,396,9746324,Florida,1507.5345145631068,0.0001546772418568382
Nursing Home Care (Millions of Dollars),5,Southeast,7.2,1980,276,5463105,Georgia,1050.7058737864077,0.00019232760010770572
Nursing Home Care (Millions of Dollars),8,Far West,7.7,1980,40,964691,Hawaii,152.276213592233,0.0001578497296981448
Nursing Home Care (Millions of Dollars),7,Rocky Mountains,8.0,1980,44,943935,Idaho,167.5038349514563,0.0001774527217991242
Nursing Home Care (Millions of Dollars),3,Great Lakes,6.4,1980,815,11426518,Illinois,3102.6278519417474,0.00027152872396838193
Nursing Home Care (Millions of Dollars),3,Great Lakes,6.8,1980,408,5490224,Indiana,1553.2173786407766,0.0002829060123304216
Nursing Home Care (Millions of Dollars),4,Plains,5.4,1980,347,2913808,Iowa,1320.9961529126215,0.0004533573086876766
Nursing Home Care (Millions of Dollars),4,Plains,6.5,1980,201,2363679,Kansas,765.1879733009708,0.0003237275337729746
Nursing Home Care (Millions of Dollars),5,Southeast,6.7,1980,227,3660777,Kentucky,864.1675121359224,0.0002360612274760037
Nursing Home Care (Millions of Dollars),5,Southeast,6.8,1980,195,4205900,Louisiana,742.3465412621359,0.00017650123428092346
Nursing Home Care (Millions of Dollars),1,New England,5.5,1980,125,1124660,Maine,475.8631674757281,0.00042311735766874264
Nursing Home Care (Millions of Dollars),2,Mideast,8.5,1980,246,4216975,Maryland,936.498713592233,0.0002220783176547722
Nursing Home Care (Millions of Dollars),1,New England,6.2,1980,632,5737037,Massachusetts,2405.9641747572814,0.00041937400347205037
Nursing Home Care (Millions of Dollars),3,Great Lakes,6.4,1980,565,9262078,Michigan,2150.901516990291,0.00023222666846363106
Nursing Home Care (Millions of Dollars),4,Plains,5.2,1980,564,4075970,Minnesota,2147.0946116504856,0.000526768992816553
Nursing Home Care (Millions of Dollars),5,Southeast,7.1,1980,128,2520638,Mississippi,487.28388349514563,0.00019331767730834242
Nursing Home Care (Millions of Dollars),4,Plains,6.6,1980,363,4916686,Missouri,1381.9066383495144,0.00028106465174906724
Nursing Home Care (Millions of Dollars),7,Rocky Mountains,7.0,1980,43,786690,Montana,163.6969296116505,0.00020808314534524462
Nursing Home Care (Millions of Dollars),4,Plains,6.3,1980,144,1569825,Nebraska,548.1943689320389,0.00034920731223673905
Nursing Home Care (Millions of Dollars),8,Far West,10.0,1980,27,800493,Nevada,102.78644417475729,0.00012840392629886495
Nursing Home Care (Millions of Dollars),1,New England,8.0,1980,55,920610,New Hampshire,209.37979368932037,0.00022743593235932736
Nursing Home Care (Millions of Dollars),2,Mideast,7.5,1980,433,7364823,New Jersey,1648.3900121359222,0.00022381936567055614
Nursing Home Care (Millions of Dollars),6,Southwest,8.8,1980,32,1302894,New Mexico,121.82097087378641,9.350029309658836e-05
Nursing Home Care (Millions of Dollars),2,Mideast,6.0,1980,1662,17558072,New York,6327.076674757282,0.00036035144831148214
Nursing Home Care (Millions of Dollars),5,Southeast,9.0,1980,238,5881766,North Carolina,906.0434708737864,0.00015404276043517993
Nursing Home Care (Millions of Dollars),4,Plains,6.9,1980,59,652717,North Dakota,224.6074150485437,0.0003441114833052359
Nursing Home Care (Millions of Dollars),3,Great Lakes,6.7,1980,791,10797630,Ohio,3011.2621237864078,0.00027888176607148124
Nursing Home Care (Millions of Dollars),6,Southwest,6.1,1980,207,3025290,Oklahoma,788.0294053398059,0.00026048061684658526
Nursing Home Care (Millions of Dollars),8,Far West,7.4,1980,169,2633105,Oregon,643.3670024271845,0.00024433776944982614
Nursing Home Care (Millions of Dollars),2,Mideast,7.3,1980,916,11863895,Pennsylvania,3487.1252912621358,0.00029392752475153696
Nursing Home Care (Millions of Dollars),1,New England,6.1,1980,106,947154,Rhode Island,403.53196601941744,0.0004260468371768661
Nursing Home Care (Millions of Dollars),5,Southeast,7.9,1980,136,3121820,South Carolina,517.7391262135923,0.0001658452845499075
Nursing Home Care (Millions of Dollars),4,Plains,6.1,1980,65,690768,South Dakota,247.44884708737862,0.00035822279996667277
Nursing Home Care (Millions of Dollars),5,Southeast,7.7,1980,218,4591120,Tennessee,829.9053640776699,0.0001807631610756569
Nursing Home Care (Millions of Dollars),6,Southwest,7.2,1980,785,14229191,Texas,2988.420691747573,0.00021002042152273964
Nursing Home Care (Millions of Dollars),7,Rocky Mountains,7.4,1980,61,1461037,Utah,232.22122572815536,0.00015894274116819447
Nursing Home Care (Millions of Dollars),1,New England,6.1,1980,46,511456,Vermont,175.11764563106797,0.00034239044146723856
Nursing Home Care (Millions of Dollars),5,Southeast,8.2,1980,256,5346818,Virginia,974.5677669902913,0.0001822706078625252
Nursing Home Care (Millions of Dollars),8,Far West,6.9,1980,336,4132156,Washington,1279.1201941747572,0.00030955273570861246
Nursing Home Care (Millions of Dollars),5,Southeast,7.8,1980,70,1949644,West Virginia,266.4833737864078,0.00013668309382964676
Nursing Home Care (Millions of Dollars),3,Great Lakes,6.0,1980,447,4705767,Wisconsin,1701.6866868932038,0.00036161728510850707
Nursing Home Care (Millions of Dollars),7,Rocky Mountains,7.2,1980,19,469557,Wyoming,72.33120145631068,0.00015404136549196514
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,10.0,1980,61,3893888,Alabama,232.22122572815536,5.963736649029334e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",8,Far West,10.0,1980,23,401851,Alaska,87.55882281553399,0.00021788877672454214
"Other Health, Residential, and Personal Care (Millions of Dollars)",6,Southwest,10.9,1980,70,2718215,Arizona,266.4833737864078,9.803616483111446e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,10.5,1980,63,2286435,Arkansas,239.835036407767,0.00010489475380134008
"Other Health, Residential, and Personal Care (Millions of Dollars)",8,Far West,9.7,1980,828,23667902,California,3152.1176213592234,0.00013318111682899582
"Other Health, Residential, and Personal Care (Millions of Dollars)",7,Rocky Mountains,7.5,1980,134,2889964,Colorado,510.12531553398054,0.0001765161488288368
"Other Health, Residential, and Personal Care (Millions of Dollars)",1,New England,9.3,1980,139,3107576,Connecticut,529.1598422330097,0.00017028057953627192
"Other Health, Residential, and Personal Care (Millions of Dollars)",2,Mideast,11.2,1980,15,594338,Delaware,57.103580097087374,9.607930184017743e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",2,Mideast,10.0,1980,29,638333,District of Columbia,110.40025485436892,0.0001729508812083488
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,11.2,1980,134,9746324,Florida,510.12531553398054,5.234027881014222e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,10.7,1980,83,5463105,Georgia,315.97314320388347,5.783764785847672e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",8,Far West,7.8,1980,19,964691,Hawaii,72.33120145631068,7.497862160661878e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",7,Rocky Mountains,10.2,1980,23,943935,Idaho,87.55882281553399,9.275937730408766e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",3,Great Lakes,7.8,1980,434,11426518,Illinois,1652.1969174757282,0.0001445932100641445
"Other Health, Residential, and Personal Care (Millions of Dollars)",3,Great Lakes,8.2,1980,166,5490224,Indiana,631.9462864077669,0.00011510391678149507
"Other Health, Residential, and Personal Care (Millions of Dollars)",4,Plains,7.1,1980,184,2913808,Iowa,700.4705825242719,0.00024039695907358065
"Other Health, Residential, and Personal Care (Millions of Dollars)",4,Plains,8.0,1980,89,2363679,Kansas,338.8145752427185,0.0001433420423173868
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,10.9,1980,62,3660777,Kentucky,236.02813106796117,6.447487270269705e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,7.9,1980,167,4205900,Louisiana,635.7531917475728,0.0001511574673072524
"Other Health, Residential, and Personal Care (Millions of Dollars)",1,New England,8.8,1980,82,1124660,Maine,312.1662378640777,0.0002775649866306952
"Other Health, Residential, and Personal Care (Millions of Dollars)",2,Mideast,9.9,1980,115,4216975,Maryland,437.79411407766986,0.00010381709971666179
"Other Health, Residential, and Personal Care (Millions of Dollars)",1,New England,8.3,1980,346,5737037,Massachusetts,1317.1892475728155,0.00022959399557172377
"Other Health, Residential, and Personal Care (Millions of Dollars)",3,Great Lakes,5.9,1980,381,9262078,Michigan,1450.4309344660194,0.00015659886846839546
"Other Health, Residential, and Personal Care (Millions of Dollars)",4,Plains,7.3,1980,436,4075970,Minnesota,1659.8107281553398,0.0004072185830993211
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,11.2,1980,37,2520638,Mississippi,140.85549757281552,5.588089109694273e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",4,Plains,9.2,1980,127,4916686,Missouri,483.47697815533985,9.833391397281417e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",7,Rocky Mountains,10.6,1980,18,786690,Montana,68.52429611650486,8.71045724701024e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",4,Plains,8.7,1980,46,1569825,Nebraska,175.11764563106797,0.00011155233585340275
"Other Health, Residential, and Personal Care (Millions of Dollars)",8,Far West,11.6,1980,17,800493,Nevada,64.71739077669903,8.084691655854459e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",1,New England,11.6,1980,18,920610,New Hampshire,68.52429611650486,7.44335778630526e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",2,Mideast,9.4,1980,199,7364823,New Jersey,757.5741626213593,0.00010286386551602927
"Other Health, Residential, and Personal Care (Millions of Dollars)",6,Southwest,10.3,1980,26,1302894,New Mexico,98.97953883495146,7.596898814097805e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",2,Mideast,8.2,1980,1270,17558072,New York,4834.769781553398,0.0002753588082765237
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,9.4,1980,124,5881766,North Carolina,472.05626213592234,8.025757266370719e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",4,Plains,9.4,1980,29,652717,North Dakota,110.40025485436892,0.00016913954264155664
"Other Health, Residential, and Personal Care (Millions of Dollars)",3,Great Lakes,9.2,1980,311,10797630,Ohio,1183.9475606796118,0.00010964883596489338
"Other Health, Residential, and Personal Care (Millions of Dollars)",6,Southwest,8.1,1980,99,3025290,Oklahoma,376.8836286407767,0.00012457768631793208
"Other Health, Residential, and Personal Care (Millions of Dollars)",8,Far West,9.9,1980,125,2633105,Oregon,475.8631674757281,0.00018072320225578854
"Other Health, Residential, and Personal Care (Millions of Dollars)",2,Mideast,8.3,1980,637,11863895,Pennsylvania,2424.9987014563108,0.0002044015647016693
"Other Health, Residential, and Personal Care (Millions of Dollars)",1,New England,8.3,1980,62,947154,Rhode Island,236.02813106796117,0.00024919720665061984
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,9.0,1980,75,3121820,South Carolina,285.5179004854369,9.145879662678722e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",4,Plains,7.8,1980,31,690768,South Dakota,118.01406553398058,0.0001708447199841055
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,10.5,1980,87,4591120,Tennessee,331.2007645631068,7.213942666780803e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",6,Southwest,9.6,1980,403,14229191,Texas,1534.1828519417477,0.00010781940111294786
"Other Health, Residential, and Personal Care (Millions of Dollars)",7,Rocky Mountains,8.9,1980,58,1461037,Utah,220.80050970873785,0.0001511258850451685
"Other Health, Residential, and Personal Care (Millions of Dollars)",1,New England,9.6,1980,23,511456,Vermont,87.55882281553399,0.00017119522073361928
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,11.1,1980,98,5346818,Virginia,373.07672330097085,6.977546707237293e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",8,Far West,9.0,1980,131,4132156,Washington,498.70459951456314,0.00012068871541020309
"Other Health, Residential, and Personal Care (Millions of Dollars)",5,Southeast,11.1,1980,36,1949644,West Virginia,137.0485922330097,7.029416254096117e-05
"Other Health, Residential, and Personal Care (Millions of Dollars)",3,Great Lakes,6.9,1980,217,4705767,Wisconsin,826.0984587378641,0.00017555022565670254
"Other Health, Residential, and Personal Care (Millions of Dollars)",7,Rocky Mountains,10.4,1980,8,469557,Wyoming,30.455242718446602,6.485952231240638e-05
Personal Health Care (Millions of Dollars),5,Southeast,7.3,1990,9137,4040389,Alabama,21929.429173680186,0.005427553924555331
Personal Health Care (Millions of Dollars),8,Far West,8.6,1990,1305,550043,Alaska,3132.089862280031,0.005694263652623578
Personal Health Care (Millions of Dollars),6,Southwest,8.7,1990,8632,3665339,Arizona,20717.394399387915,0.005652245099126688
Personal Health Care (Millions of Dollars),5,Southeast,7.6,1990,4880,2350624,Arkansas,11712.336036725326,0.004982649729061444
Personal Health Care (Millions of Dollars),8,Far West,7.3,1990,74392,29811427,California,178545.92263198167,0.00598917732559336
Personal Health Care (Millions of Dollars),7,Rocky Mountains,7.9,1990,7896,3294473,Colorado,18950.943718439175,0.005752344523217879
Personal Health Care (Millions of Dollars),1,New England,7.4,1990,10073,3287116,Connecticut,24175.893626625864,0.007354743071624446
Personal Health Care (Millions of Dollars),2,Mideast,8.7,1990,1713,666168,Delaware,4111.317957153788,0.006171593287509739
Personal Health Care (Millions of Dollars),2,Mideast,6.4,1990,3539,606900,District of Columbia,8493.843695485846,0.013995458387684703
Personal Health Care (Millions of Dollars),5,Southeast,8.6,1990,35973,12938071,Florida,86337.67710022954,0.00667314911938801
Personal Health Care (Millions of Dollars),5,Southeast,8.3,1990,15295,6478149,Georgia,36709.05321346595,0.005666596000410912
Personal Health Care (Millions of Dollars),8,Far West,7.4,1990,2740,1108229,Hawaii,6576.188676358073,0.00593396191252717
Personal Health Care (Millions of Dollars),7,Rocky Mountains,8.7,1990,1767,1006734,Idaho,4240.921675592961,0.00421255433470307
Personal Health Care (Millions of Dollars),3,Great Lakes,6.6,1990,27769,11430602,Illinois,66647.51217291509,0.005830621359480024
Personal Health Care (Millions of Dollars),3,Great Lakes,7.6,1990,12921,5544156,Indiana,31011.289739862284,0.005593509587367723
Personal Health Care (Millions of Dollars),4,Plains,6.6,1990,6292,2776831,Iowa,15101.233267023721,0.005438297565470754
Personal Health Care (Millions of Dollars),4,Plains,6.9,1990,5680,2477588,Kansas,13632.391124713085,0.005502283319386874
Personal Health Care (Millions of Dollars),5,Southeast,7.8,1990,7770,3686892,Kentucky,18648.535042081105,0.005058063822341719
Personal Health Care (Millions of Dollars),5,Southeast,7.1,1990,10176,4221826,Louisiana,24423.10071920429,0.00578496146435317
Personal Health Care (Millions of Dollars),1,New England,7.7,1990,2820,1227928,Maine,6768.194185156849,0.0055118819549329024
Personal Health Care (Millions of Dollars),2,Mideast,7.6,1990,11860,4780753,Maryland,28464.81667941852,0.005954044620045946
Personal Health Care (Millions of Dollars),1,New England,7.3,1990,19144,6016425,Massachusetts,45946.91825554706,0.007636913658118744
Personal Health Care (Millions of Dollars),3,Great Lakes,6.3,1990,22579,9295287,Michigan,54191.154789594504,0.005829960364816547
Personal Health Care (Millions of Dollars),4,Plains,7.4,1990,11972,4375665,Minnesota,28733.624391736805,0.006566687438763434
Personal Health Care (Millions of Dollars),5,Southeast,7.7,1990,4745,2575475,Mississippi,11388.326740627394,0.004421835483018625
Personal Health Care (Millions of Dollars),4,Plains,7.1,1990,12674,5116901,Missouri,30418.472731446065,0.005944706128073626
Personal Health Care (Millions of Dollars),7,Rocky Mountains,7.9,1990,1662,799065,Montana,3988.9144452945684,0.004991977430239803
Personal Health Care (Millions of Dollars),4,Plains,7.4,1990,3579,1578417,Nebraska,8589.846449885235,0.005442064074249856
Personal Health Care (Millions of Dollars),8,Far West,9.5,1990,2829,1201675,Nevada,6789.794804896711,0.005650275494536136
Personal Health Care (Millions of Dollars),1,New England,8.9,1990,2513,1109252,New Hampshire,6031.373045141547,0.00543733348701787
Personal Health Care (Millions of Dollars),2,Mideast,7.5,1990,20293,7747750,New Jersey,48704.59737566948,0.0062862892292174476
Personal Health Care (Millions of Dollars),6,Southwest,8.3,1990,2990,1515069,New Mexico,7176.205891354248,0.004736553841015985
Personal Health Care (Millions of Dollars),2,Mideast,7.0,1990,53201,17990778,New York,127686.06342004593,0.007097306376636182
Personal Health Care (Millions of Dollars),5,Southeast,8.7,1990,13753,6632448,North Carolina,33008.14703136955,0.004976766803353687
Personal Health Care (Millions of Dollars),4,Plains,7.6,1990,1762,638800,North Dakota,4228.921331293038,0.006620102271905194
Personal Health Care (Millions of Dollars),3,Great Lakes,7.0,1990,26838,10847115,Ohio,64413.04806426934,0.00593826543410569
Personal Health Care (Millions of Dollars),6,Southwest,7.2,1990,6505,3145576,Oklahoma,15612.447934200462,0.004963303361355905
Personal Health Care (Millions of Dollars),8,Far West,7.9,1990,6311,2842337,Oregon,15146.83457536343,0.00532900728357103
Personal Health Care (Millions of Dollars),2,Mideast,7.1,1990,33275,11882842,Pennsylvania,79862.29131599083,0.006720807304851048
Personal Health Care (Millions of Dollars),1,New England,7.1,1990,2759,1003464,Rhode Island,6621.789984697782,0.006598931286720582
Personal Health Care (Millions of Dollars),5,Southeast,8.5,1990,6861,3486310,South Carolina,16466.872448355014,0.004723295532627625
Personal Health Care (Millions of Dollars),4,Plains,8.0,1990,1544,696004,South Dakota,3705.706319816374,0.005324260090195421
Personal Health Care (Millions of Dollars),5,Southeast,7.8,1990,12123,4877203,Tennessee,29096.034789594498,0.0059657214984888875
Personal Health Care (Millions of Dollars),6,Southwest,8.4,1990,37675,16986335,Texas,90422.59429992351,0.005323255092986422
Personal Health Care (Millions of Dollars),7,Rocky Mountains,8.7,1990,3322,1722850,Utah,7973.028752869168,0.004627813653463255
Personal Health Care (Millions of Dollars),1,New England,8.2,1990,1155,562758,Vermont,2772.0795332823263,0.004925882054599537
Personal Health Care (Millions of Dollars),5,Southeast,8.1,1990,13252,6189197,Virginia,31805.71253251722,0.005138907766632282
Personal Health Care (Millions of Dollars),8,Far West,8.2,1990,11253,4866669,Washington,27007.97488140781,0.005549581218983211
Personal Health Care (Millions of Dollars),5,Southeast,7.1,1990,4020,1793477,West Virginia,9648.276817138487,0.005379649037672904
Personal Health Care (Millions of Dollars),3,Great Lakes,7.4,1990,11308,4891954,Wisconsin,27139.978668706968,0.005547881003931551
Personal Health Care (Millions of Dollars),7,Rocky Mountains,7.6,1990,801,453589,Wyoming,1922.4551568477432,0.004238319617203555
Hospital Care (Millions of Dollars),5,Southeast,6.2,1990,3964,4040389,Alabama,9513.872960979343,0.0023546923231845605
Hospital Care (Millions of Dollars),8,Far West,8.5,1990,553,550043,Alaska,1327.2380795715383,0.0024129714941768885
Hospital Care (Millions of Dollars),6,Southwest,8.2,1990,3181,3665339,Arizona,7634.619043611325,0.0020829230375720566
Hospital Care (Millions of Dollars),5,Southeast,7.0,1990,2080,2350624,Arkansas,4992.143228768172,0.002123752343534386
Hospital Care (Millions of Dollars),8,Far West,6.8,1990,27550,29811427,California,66121.89709257844,0.0022180050989366743
Hospital Care (Millions of Dollars),7,Rocky Mountains,7.7,1990,3054,3294473,Colorado,7329.810298393269,0.0022248809744056996
Hospital Care (Millions of Dollars),1,New England,6.5,1990,3585,3287116,Connecticut,8604.246863045144,0.0026175671509752452
Hospital Care (Millions of Dollars),2,Mideast,8.1,1990,697,666168,Delaware,1672.8479954093345,0.0025111503335635073
Hospital Care (Millions of Dollars),2,Mideast,5.8,1990,2083,606900,District of Columbia,4999.343435348126,0.008237507720132025
Hospital Care (Millions of Dollars),5,Southeast,7.7,1990,13282,12938071,Florida,31877.71459831676,0.0024638691964448765
Hospital Care (Millions of Dollars),5,Southeast,7.5,1990,6556,6478149,Georgia,15734.85144605968,0.0024289116298590353
Hospital Care (Millions of Dollars),8,Far West,7.3,1990,1131,1108229,Hawaii,2714.4778806426934,0.002449383548565047
Hospital Care (Millions of Dollars),7,Rocky Mountains,9.1,1990,655,1006734,Idaho,1572.0451032899773,0.001561529761873521
Hospital Care (Millions of Dollars),3,Great Lakes,5.7,1990,12272,11430602,Illinois,29453.645049732215,0.002576736120261401
Hospital Care (Millions of Dollars),3,Great Lakes,7.3,1990,5149,5544156,Indiana,12357.954560061211,0.0022290055619035992
Hospital Care (Millions of Dollars),4,Plains,6.3,1990,2603,2776831,Iowa,6247.37924254017,0.002249823357107498
Hospital Care (Millions of Dollars),4,Plains,6.3,1990,2251,2477588,Kansas,5402.555003825555,0.0021805703788626498
Hospital Care (Millions of Dollars),5,Southeast,7.4,1990,3392,3686892,Kentucky,8141.033573068095,0.002208101992970799
Hospital Care (Millions of Dollars),5,Southeast,6.4,1990,4540,4221826,Louisiana,10896.312624330529,0.002580947823129264
Hospital Care (Millions of Dollars),1,New England,7.3,1990,1101,1227928,Maine,2642.475814843153,0.002151979444106782
Hospital Care (Millions of Dollars),2,Mideast,6.7,1990,4558,4780753,Maryland,10939.513863810254,0.0022882407570125993
Hospital Care (Millions of Dollars),1,New England,6.2,1990,7992,6016425,Massachusetts,19181.35032899771,0.0031881641222150543
Hospital Care (Millions of Dollars),3,Great Lakes,5.9,1990,9410,9295287,Michigan,22584.64797245601,0.0024296880744463303
Hospital Care (Millions of Dollars),4,Plains,7.3,1990,4040,4375665,Minnesota,9696.27819433818,0.0022159553334951784
Hospital Care (Millions of Dollars),5,Southeast,7.1,1990,2145,2575475,Mississippi,5148.147704667177,0.001998911930679652
Hospital Care (Millions of Dollars),4,Plains,6.6,1990,5903,5116901,Missouri,14167.606480489674,0.002768786513651461
Hospital Care (Millions of Dollars),7,Rocky Mountains,8.1,1990,692,799065,Montana,1660.8476511094111,0.0020784887976690396
Hospital Care (Millions of Dollars),4,Plains,7.0,1990,1564,1578417,Nebraska,3753.707697016068,0.0023781470276967795
Hospital Care (Millions of Dollars),8,Far West,8.7,1990,1035,1201675,Nevada,2484.0712700841627,0.0020671739614156596
Hospital Care (Millions of Dollars),1,New England,8.5,1990,1033,1109252,New Hampshire,2479.2711323641934,0.002235083761277143
Hospital Care (Millions of Dollars),2,Mideast,6.5,1990,7746,7747750,New Jersey,18590.93338944147,0.002399526751565483
Hospital Care (Millions of Dollars),6,Southwest,8.0,1990,1332,1515069,New Mexico,3196.8917214996177,0.002110063450245248
Hospital Care (Millions of Dollars),2,Mideast,6.2,1990,22386,17990778,New York,53727.94149961745,0.002986415679167263
Hospital Care (Millions of Dollars),5,Southeast,8.2,1990,5790,6632448,North Carolina,13896.398699311401,0.0020952141199314946
Hospital Care (Millions of Dollars),4,Plains,7.7,1990,716,638800,North Dakota,1718.449303749044,0.0026901210140091486
Hospital Care (Millions of Dollars),3,Great Lakes,6.8,1990,11299,10847115,Ohio,27118.378048967104,0.0025000544429525364
Hospital Care (Millions of Dollars),6,Southwest,6.9,1990,2649,3145576,Oklahoma,6357.782410099466,0.002021182260450698
Hospital Care (Millions of Dollars),8,Far West,7.8,1990,2267,2842337,Oregon,5440.956105585311,0.001914254398963005
Hospital Care (Millions of Dollars),2,Mideast,6.1,1990,14685,11882842,Pennsylvania,35245.01120887529,0.0029660422320582306
Hospital Care (Millions of Dollars),1,New England,6.3,1990,1070,1003464,Rhode Island,2568.073680183627,0.0025592085816567678
Hospital Care (Millions of Dollars),5,Southeast,8.0,1990,3056,3486310,South Carolina,7334.6104361132375,0.0021038319702244603
Hospital Care (Millions of Dollars),4,Plains,8.3,1990,687,696004,South Dakota,1648.8473068094877,0.002369019871738507
Hospital Care (Millions of Dollars),5,Southeast,6.8,1990,5427,4877203,Tennessee,13025.173703136958,0.0026706236552255375
Hospital Care (Millions of Dollars),6,Southwest,8.0,1990,15676,16986335,Texas,37623.47944912013,0.0022149262597917756
Hospital Care (Millions of Dollars),7,Rocky Mountains,8.7,1990,1307,1722850,Utah,3136.890000000001,0.0018207563049598054
Hospital Care (Millions of Dollars),1,New England,8.2,1990,438,562758,Vermont,1051.2301606732979,0.0018679968310948895
Hospital Care (Millions of Dollars),5,Southeast,7.4,1990,5549,6189197,Virginia,13317.98210405509,0.002151810986797656
