Item,Region_Number,Region_Name,Average_Annual_Percent_Growth,Year,Spending,Population,State,SpendAdjust,perCapSpendAdjusted
Hospital Care (Millions of Dollars),5,Southeast,7.4,1990,3392,3686892,Kentucky,8141.033573068095,0.002208101992970799
Hospital Care (Millions of Dollars),5,Southeast,6.4,1990,4540,4221826,Louisiana,10896.312624330529,0.002580947823129264
Hospital Care (Millions of Dollars),1,New England,7.3,1990,1101,1227928,Maine,2642.475814843153,0.002151979444106782
Hospital Care (Millions of Dollars),2,Mideast,6.7,1990,4558,4780753,Maryland,10939.513863810254,0.0022882407570125993
Hospital Care (Millions of Dollars),1,New England,6.2,1990,7992,6016425,Massachusetts,19181.35032899771,0.0031881641222150543
Hospital Care (Millions of Dollars),3,Great Lakes,5.9,1990,9410,9295287,Michigan,22584.64797245601,0.0024296880744463303
Hospital Care (Millions of Dollars),4,Plains,7.3,1990,4040,4375665,Minnesota,9696.27819433818,0.0022159553334951784
Hospital Care (Millions of Dollars),5,Southeast,7.1,1990,2145,2575475,Mississippi,5148.147704667177,0.001998911930679652
Hospital Care (Millions of Dollars),4,Plains,6.6,1990,5903,5116901,Missouri,14167.606480489674,0.002768786513651461
Hospital Care (Millions of Dollars),7,Rocky Mountains,8.1,1990,692,799065,Montana,1660.8476511094111,0.0020784887976690396
Hospital Care (Millions of Dollars),4,Plains,7.0,1990,1564,1578417,Nebraska,3753.707697016068,0.0023781470276967795
Hospital Care (Millions of Dollars),8,Far West,8.7,1990,1035,1201675,Nevada,2484.0712700841627,0.0020671739614156596
Hospital Care (Millions of Dollars),1,New England,8.5,1990,1033,1109252,New Hampshire,2479.2711323641934,0.002235083761277143
Hospital Care (Millions of Dollars),2,Mideast,6.5,1990,7746,7747750,New Jersey,18590.93338944147,0.002399526751565483
Hospital Care (Millions of Dollars),6,Southwest,8.0,1990,1332,1515069,New Mexico,3196.8917214996177,0.002110063450245248
Hospital Care (Millions of Dollars),2,Mideast,6.2,1990,22386,17990778,New York,53727.94149961745,0.002986415679167263
Hospital Care (Millions of Dollars),5,Southeast,8.2,1990,5790,6632448,North Carolina,13896.398699311401,0.0020952141199314946
Hospital Care (Millions of Dollars),4,Plains,7.7,1990,716,638800,North Dakota,1718.449303749044,0.0026901210140091486
Hospital Care (Millions of Dollars),3,Great Lakes,6.8,1990,11299,10847115,Ohio,27118.378048967104,0.0025000544429525364
Hospital Care (Millions of Dollars),6,Southwest,6.9,1990,2649,3145576,Oklahoma,6357.782410099466,0.002021182260450698
Hospital Care (Millions of Dollars),8,Far West,7.8,1990,2267,2842337,Oregon,5440.956105585311,0.001914254398963005
Hospital Care (Millions of Dollars),2,Mideast,6.1,1990,14685,11882842,Pennsylvania,35245.01120887529,0.0029660422320582306
Hospital Care (Millions of Dollars),1,New England,6.3,1990,1070,1003464,Rhode Island,2568.073680183627,0.0025592085816567678
Hospital Care (Millions of Dollars),5,Southeast,8.0,1990,3056,3486310,South Carolina,7334.6104361132375,0.0021038319702244603
Hospital Care (Millions of Dollars),4,Plains,8.3,1990,687,696004,South Dakota,1648.8473068094877,0.002369019871738507
Hospital Care (Millions of Dollars),5,Southeast,6.8,1990,5427,4877203,Tennessee,13025.173703136958,0.0026706236552255375
Hospital Care (Millions of Dollars),6,Southwest,8.0,1990,15676,16986335,Texas,37623.47944912013,0.0022149262597917756
Hospital Care (Millions of Dollars),7,Rocky Mountains,8.7,1990,1307,1722850,Utah,3136.890000000001,0.0018207563049598054
Hospital Care (Millions of Dollars),1,New England,8.2,1990,438,562758,Vermont,1051.2301606732979,0.0018679968310948895
Hospital Care (Millions of Dollars),5,Southeast,7.4,1990,5549,6189197,Virginia,13317.98210405509,0.002151810986797656
Hospital Care (Millions of Dollars),8,Far West,8.5,1990,3911,4866669,Washington,9386.669311400154,0.0019287667419748812
Hospital Care (Millions of Dollars),5,Southeast,6.3,1990,1738,1793477,West Virginia,4171.319678653405,0.0023258283650436583
Hospital Care (Millions of Dollars),3,Great Lakes,7.1,1990,4313,4891954,Wisconsin,10351.496993114004,0.002116025006186486
Hospital Care (Millions of Dollars),7,Rocky Mountains,7.7,1990,347,453589,Wyoming,832.8238944146904,0.0018360760389134004
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.6,1990,2521,4040389,Alabama,6050.573596021424,0.001497522539542956
Physician & Clinical Services (Millions of Dollars),8,Far West,8.8,1990,360,550043,Alaska,864.0247895944914,0.0015708313524478838
Physician & Clinical Services (Millions of Dollars),6,Southwest,8.7,1990,2592,3665339,Arizona,6220.978485080337,0.0016972450529351684
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.5,1990,1248,2350624,Arkansas,2995.285937260903,0.0012742514061206314
Physician & Clinical Services (Millions of Dollars),8,Far West,7.2,1990,24636,29811427,California,59128.09643458303,0.0019834037610672924
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,8.0,1990,2122,3294473,Colorado,5092.94612088753,0.0015459061649276014
Physician & Clinical Services (Millions of Dollars),1,New England,7.7,1990,2425,3287116,Connecticut,5820.1669854628935,0.0017705998162105912
Physician & Clinical Services (Millions of Dollars),2,Mideast,8.6,1990,436,666168,Delaware,1046.4300229533285,0.001570820007795824
Physician & Clinical Services (Millions of Dollars),2,Mideast,6.5,1990,786,606900,District of Columbia,1886.4541239479727,0.0031083442477310473
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.5,1990,11362,12938071,Florida,27269.58238714614,0.0021077007837680085
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.8,1990,4160,6478149,Georgia,9984.286457536344,0.0015412251952735794
Physician & Clinical Services (Millions of Dollars),8,Far West,7.1,1990,729,1108229,Hawaii,1749.650198928845,0.0015787803774570462
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,7.9,1990,438,1006734,Idaho,1051.2301606732979,0.001044198527787179
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,7.1,1990,6522,11430602,Illinois,15653.249104820201,0.0013694159856865108
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,7.9,1990,3036,5544156,Indiana,7286.609058913544,0.001314286441238945
Physician & Clinical Services (Millions of Dollars),4,Plains,6.5,1990,1253,2776831,Iowa,3007.286281560827,0.0010829921884193986
Physician & Clinical Services (Millions of Dollars),4,Plains,7.0,1990,1425,2477588,Kansas,3420.0981254781946,0.001380414389106742
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.8,1990,1884,3686892,Kentucky,4521.729732211171,0.0012264340078882623
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.2,1990,2515,4221826,Louisiana,6036.173182861516,0.0014297541355000219
Physician & Clinical Services (Millions of Dollars),1,New England,8.1,1990,548,1227928,Maine,1315.2377352716146,0.0010711033018805782
Physician & Clinical Services (Millions of Dollars),2,Mideast,8.1,1990,3333,4780753,Maryland,7999.429510328999,0.0016732572275390506
Physician & Clinical Services (Millions of Dollars),1,New England,8.4,1990,4127,6016425,Massachusetts,9905.08418515685,0.0016463405070547459
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,6.1,1990,5275,9295287,Michigan,12660.363236419282,0.0013620196166529643
Physician & Clinical Services (Millions of Dollars),4,Plains,7.4,1990,2986,4375665,Minnesota,7166.605615914308,0.0016378323331229215
Physician & Clinical Services (Millions of Dollars),5,Southeast,7.7,1990,1094,2575475,Mississippi,2625.67533282326,0.0010194916793303216
Physician & Clinical Services (Millions of Dollars),4,Plains,7.1,1990,2837,5116901,Missouri,6808.995355776588,0.0013306873351226823
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,7.4,1990,374,799065,Montana,897.6257536342771,0.0011233451016303768
Physician & Clinical Services (Millions of Dollars),4,Plains,7.6,1990,799,1578417,Nebraska,1917.6550191277738,0.0012149229380624853
Physician & Clinical Services (Millions of Dollars),8,Far West,9.7,1990,920,1201675,Nevada,2208.0633511859223,0.0018374879657028084
Physician & Clinical Services (Millions of Dollars),1,New England,9.2,1990,566,1109252,New Hampshire,1358.4389747513392,0.001224644151871116
Physician & Clinical Services (Millions of Dollars),2,Mideast,8.0,1990,5143,7747750,New Jersey,12343.554146901302,0.001593179200013075
Physician & Clinical Services (Millions of Dollars),6,Southwest,8.0,1990,678,1515069,New Mexico,1627.2466870696253,0.001074041305755464
Physician & Clinical Services (Millions of Dollars),2,Mideast,7.4,1990,10927,17990778,New York,26225.552433052795,0.0014577219747279853
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.8,1990,3243,6632448,North Carolina,7783.423312930376,0.0011735370277958267
Physician & Clinical Services (Millions of Dollars),4,Plains,6.6,1990,463,638800,North Dakota,1111.2318821729152,0.0017395614936958597
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,6.7,1990,6588,10847115,Ohio,15811.653649579192,0.0014576828631003905
Physician & Clinical Services (Millions of Dollars),6,Southwest,7.0,1990,1576,3145576,Oklahoma,3782.5085233358845,0.001202485180245489
Physician & Clinical Services (Millions of Dollars),8,Far West,7.7,1990,1729,2842337,Oregon,4149.719058913543,0.0014599672941363194
Physician & Clinical Services (Millions of Dollars),2,Mideast,7.6,1990,7243,11882842,Pennsylvania,17383.698752869168,0.00146292433686059
Physician & Clinical Services (Millions of Dollars),1,New England,7.3,1990,594,1003464,Rhode Island,1425.6409028309106,0.0014207195303776823
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.6,1990,1566,3486310,South Carolina,3758.5078347360372,0.0010780761994016704
Physician & Clinical Services (Millions of Dollars),4,Plains,7.7,1990,340,696004,South Dakota,816.0234123947973,0.0011724406934368154
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.3,1990,3031,4877203,Tennessee,7274.60871461362,0.0014915533994819612
Physician & Clinical Services (Millions of Dollars),6,Southwest,8.2,1990,10367,16986335,Texas,24881.513871461368,0.001464795900437697
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,8.5,1990,825,1722850,Utah,1980.056809487376,0.0011492914702309405
Physician & Clinical Services (Millions of Dollars),1,New England,8.1,1990,250,562758,Vermont,600.0172149961745,0.0010662082369263066
Physician & Clinical Services (Millions of Dollars),5,Southeast,8.5,1990,3557,6189197,Virginia,8537.044934965572,0.00137934613084146
Physician & Clinical Services (Millions of Dollars),8,Far West,8.4,1990,3094,4866669,Washington,7425.813052792656,0.0015258512655766513
Physician & Clinical Services (Millions of Dollars),5,Southeast,6.7,1990,955,1793477,West Virginia,2292.0657612853865,0.001278001201735727
Physician & Clinical Services (Millions of Dollars),3,Great Lakes,7.7,1990,2744,4891954,Wisconsin,6585.788951798012,0.0013462491576572493
Physician & Clinical Services (Millions of Dollars),7,Rocky Mountains,7.2,1990,170,453589,Wyoming,408.01170619739867,0.0008995185205051239
Other Professional Services (Millions of Dollars),5,Southeast,10.0,1990,148,4040389,Alabama,355.2101912777353,8.791484960426715e-05
Other Professional Services (Millions of Dollars),8,Far West,11.1,1990,52,550043,Alaska,124.8035807192043,0.00022689786202024988
Other Professional Services (Millions of Dollars),6,Southwest,11.2,1990,273,3665339,Arizona,655.2187987758226,0.00017876076367719947
Other Professional Services (Millions of Dollars),5,Southeast,10.3,1990,117,2350624,Arkansas,280.8080566182097,0.00011946106932380921
Other Professional Services (Millions of Dollars),8,Far West,8.5,1990,2896,29811427,California,6950.599418515686,0.00023315218753250846
Other Professional Services (Millions of Dollars),7,Rocky Mountains,10.8,1990,286,3294473,Colorado,686.4196939556236,0.00020835493080551082
Other Professional Services (Millions of Dollars),1,New England,9.7,1990,271,3287116,Connecticut,650.4186610558532,0.00019786909286312172
Other Professional Services (Millions of Dollars),2,Mideast,11.4,1990,48,666168,Delaware,115.2033052792655,0.00017293431278486135
Other Professional Services (Millions of Dollars),2,Mideast,8.7,1990,45,606900,District of Columbia,108.00309869931142,0.00017795864013727373
Other Professional Services (Millions of Dollars),5,Southeast,11.1,1990,1050,12938071,Florida,2520.072302983933,0.00019477960068266226
Other Professional Services (Millions of Dollars),5,Southeast,10.9,1990,372,6478149,Georgia,892.8256159143077,0.00013782109919273356
Other Professional Services (Millions of Dollars),8,Far West,9.9,1990,82,1108229,Hawaii,196.80564651874525,0.0001775857214697912
Other Professional Services (Millions of Dollars),7,Rocky Mountains,10.6,1990,58,1006734,Idaho,139.2039938791125,0.00013827286441017437
Other Professional Services (Millions of Dollars),3,Great Lakes,9.9,1990,690,11430602,Illinois,1656.0475133894417,0.00014487841614898688
Other Professional Services (Millions of Dollars),3,Great Lakes,9.4,1990,314,5544156,Indiana,753.6216220351952,0.00013593081111628084
Other Professional Services (Millions of Dollars),4,Plains,8.2,1990,179,2776831,Iowa,429.612325937261,0.0001547131697741998
Other Professional Services (Millions of Dollars),4,Plains,8.8,1990,161,2477588,Kansas,386.4110864575364,0.00015596260817276174
Other Professional Services (Millions of Dollars),5,Southeast,10.5,1990,149,3686892,Kentucky,357.61026013772,9.699504627141777e-05
Other Professional Services (Millions of Dollars),5,Southeast,10.0,1990,221,4221826,Louisiana,530.4152180566183,0.00012563644689682102
Other Professional Services (Millions of Dollars),1,New England,10.4,1990,89,1227928,Maine,213.60612853863816,0.00017395655815213772
Other Professional Services (Millions of Dollars),2,Mideast,10.2,1990,343,4780753,Maryland,823.2236189747515,0.00017219538825259358
Other Professional Services (Millions of Dollars),1,New England,9.6,1990,477,6016425,Massachusetts,1144.832846212701,0.00019028457035743005
Other Professional Services (Millions of Dollars),3,Great Lakes,8.5,1990,604,9295287,Michigan,1449.6415914307577,0.00015595447364140103
Other Professional Services (Millions of Dollars),4,Plains,9.5,1990,308,4375665,Minnesota,739.221208875287,0.00016893916898923637
Other Professional Services (Millions of Dollars),5,Southeast,10.3,1990,93,2575475,Mississippi,223.20640397857693,8.66661116798171e-05
Other Professional Services (Millions of Dollars),4,Plains,9.5,1990,313,5116901,Missouri,751.2215531752105,0.0001468118209000351
Other Professional Services (Millions of Dollars),7,Rocky Mountains,9.5,1990,49,799065,Montana,117.6033741392502,0.0001471762298927499
Other Professional Services (Millions of Dollars),4,Plains,10.0,1990,82,1578417,Nebraska,196.80564651874525,0.00012468545797387207
Other Professional Services (Millions of Dollars),8,Far West,11.9,1990,119,1201675,Nevada,285.6081943381791,0.0002376750738246024
Other Professional Services (Millions of Dollars),1,New England,9.7,1990,84,1109252,New Hampshire,201.60578423871462,0.00018174930875825747
Other Professional Services (Millions of Dollars),2,Mideast,10.2,1990,728,7747750,New Jersey,1747.2501300688602,0.00022551710239345103
Other Professional Services (Millions of Dollars),6,Southwest,9.9,1990,100,1515069,New Mexico,240.0068859984698,0.00015841317194033395
Other Professional Services (Millions of Dollars),2,Mideast,9.2,1990,1372,17990778,New York,3292.894475899006,0.00018303235557122689
Other Professional Services (Millions of Dollars),5,Southeast,11.0,1990,337,6632448,North Carolina,808.8232058148433,0.00012194942286993329
Other Professional Services (Millions of Dollars),4,Plains,9.2,1990,40,638800,North Dakota,96.00275439938792,0.00015028609016810884
Other Professional Services (Millions of Dollars),3,Great Lakes,8.8,1990,687,10847115,Ohio,1648.8473068094877,0.0001520079124089205
Other Professional Services (Millions of Dollars),6,Southwest,9.5,1990,184,3145576,Oklahoma,441.6126702371845,0.0001403916707900825
Other Professional Services (Millions of Dollars),8,Far West,10.1,1990,235,2842337,Oregon,564.0161820964041,0.00019843395842801333
Other Professional Services (Millions of Dollars),2,Mideast,9.7,1990,860,11882842,Pennsylvania,2064.0592195868408,0.000173700804873686
Other Professional Services (Millions of Dollars),1,New England,10.3,1990,61,1003464,Rhode Island,146.4042004590666,0.00014589880699164754
Other Professional Services (Millions of Dollars),5,Southeast,10.8,1990,140,3486310,South Carolina,336.00964039785777,9.637973685583261e-05
Other Professional Services (Millions of Dollars),4,Plains,9.5,1990,42,696004,South Dakota,100.80289211935731,0.00014483090918925368
Other Professional Services (Millions of Dollars),5,Southeast,10.7,1990,265,4877203,Tennessee,636.018247895945,0.00013040635132389303
Other Professional Services (Millions of Dollars),6,Southwest,10.8,1990,1034,16986335,Texas,2481.671201224178,0.000146098095982693
Other Professional Services (Millions of Dollars),7,Rocky Mountains,11.4,1990,94,1722850,Utah,225.60647283856164,0.0001309495735778284
Other Professional Services (Millions of Dollars),1,New England,10.2,1990,34,562758,Vermont,81.60234123947974,0.00014500432022197771
Other Professional Services (Millions of Dollars),5,Southeast,10.7,1990,327,6189197,Virginia,784.8225172149962,0.0001268052248482309
Other Professional Services (Millions of Dollars),8,Far West,10.2,1990,384,4866669,Washington,921.626442234124,0.00018937520555314613
Other Professional Services (Millions of Dollars),5,Southeast,9.3,1990,76,1793477,West Virginia,182.40523335883705,0.00010170480767739818
Other Professional Services (Millions of Dollars),3,Great Lakes,9.6,1990,281,4891954,Wisconsin,674.4193496557002,0.00013786297860848655
Other Professional Services (Millions of Dollars),7,Rocky Mountains,10.0,1990,27,453589,Wyoming,64.80185921958686,0.00014286470619787265
Dental Services (Millions of Dollars),5,Southeast,6.3,1990,369,4040389,Alabama,885.6254093343537,0.00021919310475658498
Dental Services (Millions of Dollars),8,Far West,7.3,1990,95,550043,Alaska,228.00654169854633,0.00041452494022930266
Dental Services (Millions of Dollars),6,Southwest,8.0,1990,447,3665339,Arizona,1072.83078041316,0.00029269619547145847
Dental Services (Millions of Dollars),5,Southeast,7.0,1990,206,2350624,Arkansas,494.4141851568478,0.0002103331647923478
Dental Services (Millions of Dollars),8,Far West,6.2,1990,4855,29811427,California,11652.334315225711,0.0003908680491955555
Dental Services (Millions of Dollars),7,Rocky Mountains,7.5,1990,489,3294473,Colorado,1173.6336725325173,0.00035624322085277895
Dental Services (Millions of Dollars),1,New England,6.1,1990,641,3287116,Connecticut,1538.4441392501915,0.000468022466882882
Dental Services (Millions of Dollars),2,Mideast,6.9,1990,82,666168,Delaware,196.80564651874525,0.0002954294510074715
Dental Services (Millions of Dollars),2,Mideast,5.9,1990,100,606900,District of Columbia,240.0068859984698,0.00039546364474949715
Dental Services (Millions of Dollars),5,Southeast,7.3,1990,1686,12938071,Florida,4046.516097934201,0.0003127603873818748
Dental Services (Millions of Dollars),5,Southeast,7.5,1990,752,6478149,Georgia,1804.8517827084931,0.0002786060929917625
Dental Services (Millions of Dollars),8,Far West,5.5,1990,195,1108229,Hawaii,468.01342769701614,0.000422307508373284
Dental Services (Millions of Dollars),7,Rocky Mountains,7.5,1990,124,1006734,Idaho,297.6085386381026,0.00029561784804933835
Dental Services (Millions of Dollars),3,Great Lakes,5.7,1990,1386,11430602,Illinois,3326.4954399387916,0.00029101664461231275
Dental Services (Millions of Dollars),3,Great Lakes,6.4,1990,545,5544156,Indiana,1308.0375286916603,0.00023593086642793967
Dental Services (Millions of Dollars),4,Plains,5.8,1990,275,2776831,Iowa,660.018936495792,0.00023768783065868682
Dental Services (Millions of Dollars),4,Plains,6.3,1990,271,2477588,Kansas,650.4186610558532,0.0002625209118932822
Dental Services (Millions of Dollars),5,Southeast,6.6,1990,281,3686892,Kentucky,674.4193496557002,0.0001829235436393852
Dental Services (Millions of Dollars),5,Southeast,6.1,1990,358,4221826,Louisiana,859.224651874522,0.00020351967415865125
Dental Services (Millions of Dollars),1,New England,7.2,1990,134,1227928,Maine,321.60922723794954,0.0002619121212627691
Dental Services (Millions of Dollars),2,Mideast,6.8,1990,628,4780753,Maryland,1507.2432440703903,0.00031527318898725583
Dental Services (Millions of Dollars),1,New England,6.7,1990,904,6016425,Massachusetts,2169.6622494261674,0.00036062316897928046
Dental Services (Millions of Dollars),3,Great Lakes,5.0,1990,1339,9295287,Michigan,3213.692203519511,0.0003457335102745629
Dental Services (Millions of Dollars),4,Plains,6.4,1990,632,4375665,Minnesota,1516.843519510329,0.00034665439870518633
Dental Services (Millions of Dollars),5,Southeast,6.5,1990,173,2575475,Mississippi,415.2119127773528,0.00016121760559793932
Dental Services (Millions of Dollars),4,Plains,6.2,1990,513,5116901,Missouri,1231.2353251721502,0.00024062129112369972
Dental Services (Millions of Dollars),7,Rocky Mountains,6.5,1990,83,799065,Montana,199.20571537872993,0.0002492985118591478
Dental Services (Millions of Dollars),4,Plains,6.1,1990,159,1578417,Nebraska,381.610948737567,0.00024176814412006905
Dental Services (Millions of Dollars),8,Far West,8.4,1990,169,1201675,Nevada,405.611637337414,0.00033753855022149415
Dental Services (Millions of Dollars),1,New England,8.0,1990,155,1109252,New Hampshire,372.0106732976282,0.00033537074830392754
Dental Services (Millions of Dollars),2,Mideast,6.0,1990,1265,7747750,New Jersey,3036.087107880643,0.0003918669430325763
Dental Services (Millions of Dollars),6,Southwest,7.3,1990,140,1515069,New Mexico,336.00964039785777,0.00022177844071646756
Dental Services (Millions of Dollars),2,Mideast,5.7,1990,2502,17990778,New York,6004.972287681715,0.00033378057845423443
Dental Services (Millions of Dollars),5,Southeast,7.9,1990,664,6632448,North Carolina,1593.6457230298395,0.00024028016850337003
Dental Services (Millions of Dollars),4,Plains,7.1,1990,63,638800,North Dakota,151.204338179036,0.00023670059201477144
Dental Services (Millions of Dollars),3,Great Lakes,5.6,1990,1193,10847115,Ohio,2863.282149961745,0.000263967160849843
Dental Services (Millions of Dollars),6,Southwest,6.6,1990,299,3145576,Oklahoma,717.6205891354248,0.00022813646503388403
Dental Services (Millions of Dollars),8,Far West,6.7,1990,467,2842337,Oregon,1120.832157612854,0.0003943347173867328
Dental Services (Millions of Dollars),2,Mideast,5.7,1990,1522,11882842,Pennsylvania,3652.9048048967106,0.00030741002909040704
Dental Services (Millions of Dollars),1,New England,6.1,1990,146,1003464,Rhode Island,350.41005355776593,0.00034920042329148425
Dental Services (Millions of Dollars),5,Southeast,7.7,1990,320,3486310,South Carolina,768.0220351951034,0.00022029654138476022
Dental Services (Millions of Dollars),4,Plains,7.7,1990,67,696004,South Dakota,160.80461361897477,0.0002310397837066666
Dental Services (Millions of Dollars),5,Southeast,6.7,1990,504,4877203,Tennessee,1209.634705432288,0.0002480181172348758
Dental Services (Millions of Dollars),6,Southwest,7.6,1990,1660,16986335,Texas,3984.114307574599,0.00023454820051380118
Dental Services (Millions of Dollars),7,Rocky Mountains,8.2,1990,232,1722850,Utah,556.81597551645,0.0003231946922346402
Dental Services (Millions of Dollars),1,New England,7.1,1990,71,562758,Vermont,170.40488905891357,0.0003028031392870711
Dental Services (Millions of Dollars),5,Southeast,7.5,1990,719,6189197,Virginia,1725.6495103289978,0.00027881638124121723
Dental Services (Millions of Dollars),8,Far West,6.8,1990,922,4866669,Washington,2212.8634889058917,0.00045469775916666855
Dental Services (Millions of Dollars),5,Southeast,5.7,1990,129,1793477,West Virginia,309.60888293802606,0.0001726305288208469
Dental Services (Millions of Dollars),3,Great Lakes,6.0,1990,618,4891954,Wisconsin,1483.2425554705435,0.00030320042982222306
Dental Services (Millions of Dollars),7,Rocky Mountains,6.4,1990,49,453589,Wyoming,117.6033741392502,0.00025927298532206516
Home Health Care (Millions of Dollars),5,Southeast,11.3,1990,195,4040389,Alabama,468.01342769701614,0.00011583375454616279
Home Health Care (Millions of Dollars),8,Far West,15.7,1990,3,550043,Alaska,7.200206579954094,1.3090261270399031e-05
Home Health Care (Millions of Dollars),6,Southwest,12.8,1990,128,3665339,Arizona,307.20881407804137,8.381457051531696e-05
Home Health Care (Millions of Dollars),5,Southeast,11.2,1990,74,2350624,Arkansas,177.60509563886765,7.555657376035796e-05
Home Health Care (Millions of Dollars),8,Far West,12.2,1990,888,29811427,California,2131.261147666412,7.149141661908408e-05
Home Health Care (Millions of Dollars),7,Rocky Mountains,11.5,1990,110,3294473,Colorado,264.0075745983168,8.01365118482734e-05
Home Health Care (Millions of Dollars),1,New England,9.4,1990,245,3287116,Connecticut,588.0168706962511,0.00017888534225632776
Home Health Care (Millions of Dollars),2,Mideast,12.3,1990,29,666168,Delaware,69.60199693955624,0.0001044811473075204
Home Health Care (Millions of Dollars),2,Mideast,12.8,1990,30,606900,District of Columbia,72.00206579954094,0.00011863909342484914
Home Health Care (Millions of Dollars),5,Southeast,10.9,1990,948,12938071,Florida,2275.265279265494,0.00017585815375920368
Home Health Care (Millions of Dollars),5,Southeast,11.9,1990,325,6478149,Georgia,780.0223794950268,0.0001204082183807484
Home Health Care (Millions of Dollars),8,Far West,11.5,1990,15,1108229,Hawaii,36.00103289977047,3.248519295179108e-05
Home Health Care (Millions of Dollars),7,Rocky Mountains,11.7,1990,20,1006734,Idaho,48.00137719969396,4.768029807247392e-05
Home Health Care (Millions of Dollars),3,Great Lakes,10.1,1990,427,11430602,Illinois,1024.829403213466,8.965664303712666e-05
Home Health Care (Millions of Dollars),3,Great Lakes,11.4,1990,147,5544156,Indiana,352.8101224177506,6.3636398834692e-05
Home Health Care (Millions of Dollars),4,Plains,11.6,1990,80,2776831,Iowa,192.00550879877585,6.914555073707253e-05
Home Health Care (Millions of Dollars),4,Plains,11.0,1990,73,2477588,Kansas,175.20502677888297,7.071596519634538e-05
Home Health Care (Millions of Dollars),5,Southeast,11.7,1990,154,3686892,Kentucky,369.6106044376435,0.00010024991359596198
Home Health Care (Millions of Dollars),5,Southeast,12.9,1990,139,4221826,Louisiana,333.609571537873,7.902020868171095e-05
Home Health Care (Millions of Dollars),1,New England,9.3,1990,61,1227928,Maine,146.4042004590666,0.00011922865221663372
Home Health Care (Millions of Dollars),2,Mideast,9.5,1990,202,4780753,Maryland,484.81390971690905,0.00010140952894176065
Home Health Care (Millions of Dollars),1,New England,12.7,1990,492,6016425,Massachusetts,1180.8338791124715,0.00019626836187810394
Home Health Care (Millions of Dollars),3,Great Lakes,12.8,1990,433,9295287,Michigan,1039.2298163733742,0.00011180179981246133
Home Health Care (Millions of Dollars),4,Plains,14.5,1990,194,4375665,Minnesota,465.61335883703146,0.00010640973631140214
Home Health Care (Millions of Dollars),5,Southeast,10.6,1990,127,2575475,Mississippi,304.8087452180567,0.00011835049659501904
Home Health Care (Millions of Dollars),4,Plains,9.8,1990,193,5116901,Missouri,463.21328997704677,9.052613876583635e-05
Home Health Care (Millions of Dollars),7,Rocky Mountains,11.1,1990,30,799065,Montana,72.00206579954094,9.010789585270403e-05
Home Health Care (Millions of Dollars),4,Plains,10.6,1990,34,1578417,Nebraska,81.60234123947974,5.169884842819087e-05
Home Health Care (Millions of Dollars),8,Far West,15.5,1990,47,1201675,Nevada,112.80323641928082,9.387166781307826e-05
Home Health Care (Millions of Dollars),1,New England,10.0,1990,46,1109252,New Hampshire,110.40316755929612,9.952938336761721e-05
Home Health Care (Millions of Dollars),2,Mideast,7.8,1990,453,7747750,New Jersey,1087.2311935730681,0.000140328636516804
Home Health Care (Millions of Dollars),6,Southwest,13.6,1990,35,1515069,New Mexico,84.00241009946444,5.544461017911689e-05
Home Health Care (Millions of Dollars),2,Mideast,9.2,1990,2785,17990778,New York,6684.191775057385,0.0003715343369284744
Home Health Care (Millions of Dollars),5,Southeast,13.7,1990,283,6632448,North Carolina,679.2194873756696,0.000102408565792852
Home Health Care (Millions of Dollars),4,Plains,10.1,1990,12,638800,North Dakota,28.800826319816377,4.508582705043265e-05
Home Health Care (Millions of Dollars),3,Great Lakes,11.0,1990,373,10847115,Ohio,895.2256847742924,8.25312246412334e-05
Home Health Care (Millions of Dollars),6,Southwest,9.8,1990,100,3145576,Oklahoma,240.0068859984698,7.629982108156656e-05
Home Health Care (Millions of Dollars),8,Far West,10.5,1990,58,2842337,Oregon,139.2039938791125,4.897518973967988e-05
Home Health Care (Millions of Dollars),2,Mideast,9.9,1990,515,11882842,Pennsylvania,1236.0354628921195,0.00010401850524412591
Home Health Care (Millions of Dollars),1,New England,8.8,1990,53,1003464,Rhode Island,127.20364957918899,0.0001267645372222511
Home Health Care (Millions of Dollars),5,Southeast,10.5,1990,127,3486310,South Carolina,304.8087452180567,8.743018986207673e-05
Home Health Care (Millions of Dollars),4,Plains,11.3,1990,5,696004,South Dakota,12.00034429992349,1.724177490348258e-05
